admin0name_en,admin0name_ar,admin0pcode,admin1name_en,admin1name_ar,admin1pcode,admin2name_en,admin2name_ar,admin2pcode,admin3name_en,admin3name_ar,admin3pcode,admin4name_en,admin4name_ar,column1,admin4pcode,location_name_en,location_name_ar,location_pcode,location_type,last_update_date,latitude_y,longitude_x,zone,aoc_rosc
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Suwayyan,صويعان,Suwayyan (Markada),C7303,Suwayyan (Markada),صويعان,C7303,Community,19/12/2018,36.015042,41.207499,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Showeykhan,شويخان,Showeykhan,C7304,Showeykhan,شويخان,C7304,Community,19/12/2018,36.019596,41.116708,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Al Haswa,الحسو,Al Haswa (Shadadah),C7305,Al Haswa (Shadadah),الحسو,C7305,Community,19/12/2018,36.03158,40.948392,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Bi'r al Butah,بير البوط,Bi'r al Butah,C7306,Bi'r al Butah,بير البوط,C7306,Community,19/12/2018,36.035989,41.190875,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Menbij,منبج,SY0205,Al-Khafsa,الخفسة,SY020502,Al Khalidiyah,الخالدية الخفسة,Al Khalidiyah,C7307,Al Khalidiyah,الخالدية الخفسة,C7307,Community,19/12/2018,36.045448,37.851441,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Barzan,برزان,Barzan,C7308,Barzan,برزان,C7308,Community,19/12/2018,36.045543,40.432058,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Hasan Ali,حسن علي,Hasan Ali,C7309,Hasan Ali,حسن علي,C7309,Community,19/12/2018,36.048379,41.064118,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Khuwaylid,خويلد الشدادة,Khuwaylid,C7310,Khuwaylid,خويلد الشدادة,C7310,Community,19/12/2018,36.052482,41.128306,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Durysiah,دريسية,Durysiah,C7311,Durysiah,دريسية - شدادة,C7311,Community,19/12/2018,36.052883,41.076722,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Al Sayibah,السايبة,Al Sayibah,C7312,Al Sayibah,السايبة,C7312,Community,19/12/2018,36.053909,41.205323,0,Syrian democratic forces
